date,value
1995-07-01,1.552087121212119
1995-08-01,7.0864623655913155
1995-09-01,10.955819444444424
1995-10-01,10.445442204301044
1995-11-01,27.534781944444436
1995-12-01,68.87623387096767
1996-01-01,22.91561397058823
1996-02-01,8.044093390804608
1996-03-01,3.4606223118279478
1996-04-01,3.0400250000000124
1996-05-01,1.8098521505376268
1996-06-01,1.8891361111111107
1996-07-01,1.649266129032258
1996-08-01,3.7170040322580578
1996-09-01,15.89411388888889
1996-10-01,5.523818548387068
1996-11-01,20.60134027777779
1996-12-01,14.78819047619049
1997-01-01,21.6234326344084
1997-02-01,26.916225595238345
1997-03-01,25.705821720430176
1997-04-01,25.252256111111066
1997-05-01,35.462962258064785
1997-06-01,33.35615083333367
1997-07-01,31.958212809140193
1997-08-01,38.46769021505397
1997-09-01,138.98606249999926
1997-10-01,137.12781997311683
1997-11-01,132.43517081944583
1997-12-01,128.8691908602148
1998-01-01,132.9569739215687
1998-02-01,148.77866178571452
1998-03-01,91.39436107526909
1998-04-01,55.43113638888862
1998-05-01,25.77746107526892
1998-06-01,18.27523444444445
1998-07-01,17.998918709677298
1998-08-01,20.667447365591414
1998-09-01,22.561658333333245
1998-10-01,23.389373763440716
1998-11-01,24.078219166666507
1998-12-01,23.537611347517792
1999-01-01,24.92164489247322
1999-02-01,24.832715654761802
1999-03-01,21.494723548387114
1999-04-01,23.386472499999858
1999-05-01,25.811141182795538
1999-06-01,27.843982499999882
1999-07-01,28.750234086021806
1999-08-01,31.469544623656123
1999-09-01,33.35560222222188
1999-10-01,32.2285823655916
1999-11-01,31.789288611111473
1999-12-01,31.86408929824501
2000-01-01,36.77405913978473
2000-02-01,40.26156609195363
2000-03-01,37.6332795698921
2000-04-01,44.29377777777853
2000-05-01,37.29016129032242
2000-06-01,39.991972222221655
2000-07-01,42.80388440860164
2000-08-01,49.07409946236592
2000-09-01,59.536361111110836
2000-10-01,48.421048387095894
2000-11-01,45.39716666666726
2000-12-01,55.41192204301037
2001-01-01,70.60905913978553
2001-02-01,86.03903273809539
2001-03-01,70.62147849462453
2001-04-01,67.13774999999981
2001-05-01,50.00731182795672
2001-06-01,43.02415277777781
2001-07-01,39.8676075268819
2001-08-01,38.96436827957045
2001-09-01,45.31041666666685
2001-10-01,46.79493279569839
2001-11-01,38.96041666666647
2001-12-01,35.0571774193549
2002-01-01,38.708467741935216
2002-02-01,56.64971726190507
2002-03-01,52.873924731182555
2002-04-01,48.444638888889735
2002-05-01,39.4168817204303
2002-06-01,35.13651388888862
2002-07-01,42.15305107526885
2002-08-01,45.404139784946004
2002-09-01,49.062055555555425
2002-10-01,60.221599462366015
2002-11-01,53.03851388888848
2002-12-01,64.09876344086035
2003-01-01,69.12112903225808
2003-02-01,71.96537202380976
2003-03-01,76.8383736559146
2003-04-01,80.11538888888913
2003-05-01,69.47559139784885
2003-06-01,64.6990833333336
2003-07-01,69.92896505376306
2003-08-01,65.20634408602072
2003-09-01,62.496402777777355
2003-10-01,55.49173387096769
2003-11-01,63.67080555555606
2003-12-01,52.344112903226105
2004-01-01,58.87495967741916
2004-02-01,70.40469827586186
2004-03-01,73.14544354838718
2004-04-01,70.65068055555581
2004-05-01,72.12720430107429
2004-06-01,51.347041666666506
2004-07-01,52.83169354838667
2004-08-01,53.9829704301074
2004-09-01,60.11555555555628
2004-10-01,71.77303763440791
2004-11-01,67.38037500000034
2004-12-01,67.57036290322608
2005-01-01,82.78069892473094
2005-02-01,73.86474702381025
2005-03-01,69.22145161290383
2005-04-01,68.32594444444392
2005-05-01,69.3999462365598
2005-06-01,59.059
2005-07-01,77.80122311828012
2005-08-01,85.82416666666683
2005-09-01,87.75780555555555
2005-10-01,81.21654569892495
2005-11-01,56.19740277777768
2005-12-01,79.96694892473062
2006-01-01,79.02821236559076
2006-02-01,75.52000000000095
2006-03-01,65.78967741935449
2006-04-01,54.01319444444451
2006-05-01,53.73904569892464
2006-06-01,52.9885138888886
2006-07-01,59.31747311827961
2006-08-01,66.53694892473077
2006-09-01,103.44473611111161
2006-10-01,130.51073924731108
2006-11-01,80.43823611111196
2006-12-01,64.2397311827955
2007-01-01,88.46431451612821
2007-02-01,106.98473214285667
2007-03-01,100.79213709677309
2007-04-01,91.82005555555479
2007-05-01,74.92766129032286
2007-06-01,75.86245833333375
2007-07-01,80.26227150537544
2007-08-01,85.2123655913991
2007-09-01,74.02784722222296
2007-10-01,80.52264784946283
2007-11-01,62.60593055555533
2007-12-01,85.05393817204256
2008-01-01,95.3155913978496
2008-02-01,100.63142241379266
2008-03-01,89.54369623655863
2008-04-01,102.94045833333199
2008-05-01,96.52822580645089
2008-06-01,76.02016666666749
2008-07-01,62.63975806451571
2008-08-01,73.1002956989238
2008-09-01,80.72452777777855
2008-10-01,82.8685752688168
2008-11-01,87.22701388888808
2008-12-01,107.64857526881637
2009-01-01,133.18043010752686
2009-02-01,122.25005952380968
2009-03-01,108.1732661290317
2009-04-01,88.94516666666752
2009-05-01,118.08653225806498
2009-06-01,125.58702777777866
2009-07-01,125.51711021505454
2009-08-01,127.68766129032198
2009-09-01,182.50788888888775
2009-10-01,189.93470430107422
2009-11-01,152.53052777777674
2009-12-01,188.32727355072322
2010-01-01,152.25975806451743
2010-02-01,195.59229166666657
2010-03-01,189.98189516129037
2010-04-01,195.53616666666684
2010-05-01,150.32353494623652
2010-06-01,91.33108333333334
2010-07-01,82.9448521505372
2010-08-01,84.85873655913936
2010-09-01,112.30986111111059
2010-10-01,136.52266129032247
2010-11-01,92.01791666666696
2010-12-01,66.69899193548403
